DEBUG 2017-05-11 13:27:15	HikariPool-1 - configuration:
DEBUG 2017-05-11 13:27:16	allowPoolSuspension.............false
DEBUG 2017-05-11 13:27:16	autoCommit......................false
DEBUG 2017-05-11 13:27:16	catalog.........................null
DEBUG 2017-05-11 13:27:16	connectionInitSql...............null
DEBUG 2017-05-11 13:27:16	connectionTestQuery.............null
DEBUG 2017-05-11 13:27:16	connectionTimeout...............30000
DEBUG 2017-05-11 13:27:16	dataSource......................null
DEBUG 2017-05-11 13:27:16	dataSourceClassName.............null
DEBUG 2017-05-11 13:27:16	dataSourceJNDI..................null
DEBUG 2017-05-11 13:27:16	dataSourceProperties............{password=<masked>}
DEBUG 2017-05-11 13:27:16	driverClassName................."org.h2.Driver"
DEBUG 2017-05-11 13:27:16	healthCheckProperties...........{}
DEBUG 2017-05-11 13:27:16	healthCheckRegistry.............null
DEBUG 2017-05-11 13:27:16	idleTimeout.....................600000
DEBUG 2017-05-11 13:27:16	initializationFailFast..........true
DEBUG 2017-05-11 13:27:16	isolateInternalQueries..........false
DEBUG 2017-05-11 13:27:16	jdbc4ConnectionTest.............false
DEBUG 2017-05-11 13:27:16	jdbcUrl........................."jdbc:h2:mem:test"
DEBUG 2017-05-11 13:27:16	leakDetectionThreshold..........0
DEBUG 2017-05-11 13:27:16	maxLifetime.....................1800000
DEBUG 2017-05-11 13:27:16	maximumPoolSize.................10
DEBUG 2017-05-11 13:27:16	metricRegistry..................null
DEBUG 2017-05-11 13:27:16	metricsTrackerFactory...........null
DEBUG 2017-05-11 13:27:16	minimumIdle.....................10
DEBUG 2017-05-11 13:27:16	password........................<masked>
DEBUG 2017-05-11 13:27:16	poolName........................"HikariPool-1"
DEBUG 2017-05-11 13:27:16	readOnly........................false
DEBUG 2017-05-11 13:27:16	registerMbeans..................false
DEBUG 2017-05-11 13:27:16	scheduledExecutorService........null
DEBUG 2017-05-11 13:27:16	threadFactory...................null
DEBUG 2017-05-11 13:27:16	transactionIsolation............null
DEBUG 2017-05-11 13:27:16	username........................null
DEBUG 2017-05-11 13:27:16	validationTimeout...............5000
INFO 2017-05-11 13:27:16	HikariPool-1 - Started.
INFO 2017-05-11 13:27:16	HikariPool-1 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Pool stats (total=0, active=0, idle=0, waiting=0)
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Added connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Added connection conn2: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Added connection conn3: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Added connection conn4: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Added connection conn5: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Added connection conn6: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Added connection conn7: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Added connection conn8: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Added connection conn9: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Added connection conn10: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - After adding stats (total=10, active=0, idle=10, waiting=0)
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Executed rollback on connection conn1: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Executed rollback on connection conn1: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Executed rollback on connection conn1: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Executed rollback on connection conn1: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-1 - Reset (autoCommit) on connection conn1: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - configuration:
DEBUG 2017-05-11 13:27:16	allowPoolSuspension.............false
DEBUG 2017-05-11 13:27:16	autoCommit......................false
DEBUG 2017-05-11 13:27:16	catalog.........................null
DEBUG 2017-05-11 13:27:16	connectionInitSql...............null
DEBUG 2017-05-11 13:27:16	connectionTestQuery.............null
DEBUG 2017-05-11 13:27:16	connectionTimeout...............30000
DEBUG 2017-05-11 13:27:16	dataSource......................null
DEBUG 2017-05-11 13:27:16	dataSourceClassName.............null
DEBUG 2017-05-11 13:27:16	dataSourceJNDI..................null
DEBUG 2017-05-11 13:27:16	dataSourceProperties............{password=<masked>}
DEBUG 2017-05-11 13:27:16	driverClassName................."org.h2.Driver"
DEBUG 2017-05-11 13:27:16	healthCheckProperties...........{}
DEBUG 2017-05-11 13:27:16	healthCheckRegistry.............null
DEBUG 2017-05-11 13:27:16	idleTimeout.....................600000
DEBUG 2017-05-11 13:27:16	initializationFailFast..........true
DEBUG 2017-05-11 13:27:16	isolateInternalQueries..........false
DEBUG 2017-05-11 13:27:16	jdbc4ConnectionTest.............false
DEBUG 2017-05-11 13:27:16	jdbcUrl........................."jdbc:h2:mem:test"
DEBUG 2017-05-11 13:27:16	leakDetectionThreshold..........0
DEBUG 2017-05-11 13:27:16	maxLifetime.....................1800000
DEBUG 2017-05-11 13:27:16	maximumPoolSize.................10
DEBUG 2017-05-11 13:27:16	metricRegistry..................null
DEBUG 2017-05-11 13:27:16	metricsTrackerFactory...........null
DEBUG 2017-05-11 13:27:16	minimumIdle.....................10
DEBUG 2017-05-11 13:27:16	password........................<masked>
DEBUG 2017-05-11 13:27:16	poolName........................"HikariPool-2"
DEBUG 2017-05-11 13:27:16	readOnly........................false
DEBUG 2017-05-11 13:27:16	registerMbeans..................false
DEBUG 2017-05-11 13:27:16	scheduledExecutorService........null
DEBUG 2017-05-11 13:27:16	threadFactory...................null
DEBUG 2017-05-11 13:27:16	transactionIsolation............null
DEBUG 2017-05-11 13:27:16	username........................null
DEBUG 2017-05-11 13:27:16	validationTimeout...............5000
INFO 2017-05-11 13:27:16	HikariPool-2 - Started.
INFO 2017-05-11 13:27:16	HikariPool-2 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Added connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn12: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Added connection conn13: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Executed rollback on connection conn13: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Executed rollback on connection conn13: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Executed rollback on connection conn13: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Executed rollback on connection conn13: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Executed rollback on connection conn13: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Executed rollback on connection conn13: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Executed rollback on connection conn13: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Executed rollback on connection conn13: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Executed rollback on connection conn13: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Executed rollback on connection conn13: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Added connection conn14: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn14: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Executed rollback on connection conn14: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Added connection conn15: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn15: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Executed rollback on connection conn15: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Reset (autoCommit) on connection conn15: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - configuration:
DEBUG 2017-05-11 13:27:16	allowPoolSuspension.............false
DEBUG 2017-05-11 13:27:16	autoCommit......................false
DEBUG 2017-05-11 13:27:16	catalog.........................null
DEBUG 2017-05-11 13:27:16	connectionInitSql...............null
DEBUG 2017-05-11 13:27:16	connectionTestQuery.............null
DEBUG 2017-05-11 13:27:16	connectionTimeout...............30000
DEBUG 2017-05-11 13:27:16	dataSource......................null
DEBUG 2017-05-11 13:27:16	dataSourceClassName.............null
DEBUG 2017-05-11 13:27:16	dataSourceJNDI..................null
DEBUG 2017-05-11 13:27:16	dataSourceProperties............{password=<masked>}
DEBUG 2017-05-11 13:27:16	driverClassName................."org.h2.Driver"
DEBUG 2017-05-11 13:27:16	healthCheckProperties...........{}
DEBUG 2017-05-11 13:27:16	healthCheckRegistry.............null
DEBUG 2017-05-11 13:27:16	idleTimeout.....................600000
DEBUG 2017-05-11 13:27:16	initializationFailFast..........true
DEBUG 2017-05-11 13:27:16	isolateInternalQueries..........false
DEBUG 2017-05-11 13:27:16	jdbc4ConnectionTest.............false
DEBUG 2017-05-11 13:27:16	jdbcUrl........................."jdbc:h2:mem:test"
DEBUG 2017-05-11 13:27:16	leakDetectionThreshold..........0
DEBUG 2017-05-11 13:27:16	maxLifetime.....................1800000
DEBUG 2017-05-11 13:27:16	maximumPoolSize.................10
DEBUG 2017-05-11 13:27:16	metricRegistry..................null
DEBUG 2017-05-11 13:27:16	metricsTrackerFactory...........null
DEBUG 2017-05-11 13:27:16	minimumIdle.....................10
DEBUG 2017-05-11 13:27:16	password........................<masked>
DEBUG 2017-05-11 13:27:16	poolName........................"HikariPool-3"
DEBUG 2017-05-11 13:27:16	readOnly........................false
DEBUG 2017-05-11 13:27:16	registerMbeans..................false
DEBUG 2017-05-11 13:27:16	scheduledExecutorService........null
DEBUG 2017-05-11 13:27:16	threadFactory...................null
DEBUG 2017-05-11 13:27:16	transactionIsolation............null
DEBUG 2017-05-11 13:27:16	username........................null
DEBUG 2017-05-11 13:27:16	validationTimeout...............5000
INFO 2017-05-11 13:27:16	HikariPool-3 - Started.
INFO 2017-05-11 13:27:16	HikariPool-3 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Added connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Executed rollback on connection conn17: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Executed rollback on connection conn17: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Executed rollback on connection conn17: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Executed rollback on connection conn17: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Executed rollback on connection conn17: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Executed rollback on connection conn17: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Executed rollback on connection conn17: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Executed rollback on connection conn17: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Executed rollback on connection conn17: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Executed rollback on connection conn17: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Executed rollback on connection conn17: url=jdbc:h2:mem:test user= due to dirty commit state on close().
DEBUG 2017-05-11 13:27:16	HikariPool-3 - Reset (autoCommit) on connection conn17: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-4 - configuration:
DEBUG 2017-05-11 13:27:16	allowPoolSuspension.............false
DEBUG 2017-05-11 13:27:16	autoCommit......................false
DEBUG 2017-05-11 13:27:16	catalog.........................null
DEBUG 2017-05-11 13:27:16	connectionInitSql...............null
DEBUG 2017-05-11 13:27:16	connectionTestQuery.............null
DEBUG 2017-05-11 13:27:16	connectionTimeout...............30000
DEBUG 2017-05-11 13:27:16	dataSource......................null
DEBUG 2017-05-11 13:27:16	dataSourceClassName.............null
DEBUG 2017-05-11 13:27:16	dataSourceJNDI..................null
DEBUG 2017-05-11 13:27:16	dataSourceProperties............{password=<masked>}
DEBUG 2017-05-11 13:27:16	driverClassName................."org.h2.Driver"
DEBUG 2017-05-11 13:27:16	healthCheckProperties...........{}
DEBUG 2017-05-11 13:27:16	healthCheckRegistry.............null
DEBUG 2017-05-11 13:27:16	idleTimeout.....................600000
DEBUG 2017-05-11 13:27:16	initializationFailFast..........true
DEBUG 2017-05-11 13:27:16	isolateInternalQueries..........false
DEBUG 2017-05-11 13:27:16	jdbc4ConnectionTest.............false
DEBUG 2017-05-11 13:27:16	jdbcUrl........................."jdbc:h2:mem:test"
DEBUG 2017-05-11 13:27:16	leakDetectionThreshold..........0
DEBUG 2017-05-11 13:27:16	maxLifetime.....................1800000
DEBUG 2017-05-11 13:27:16	maximumPoolSize.................10
DEBUG 2017-05-11 13:27:16	metricRegistry..................null
DEBUG 2017-05-11 13:27:16	metricsTrackerFactory...........null
DEBUG 2017-05-11 13:27:16	minimumIdle.....................10
DEBUG 2017-05-11 13:27:16	password........................<masked>
DEBUG 2017-05-11 13:27:16	poolName........................"HikariPool-4"
DEBUG 2017-05-11 13:27:16	readOnly........................false
DEBUG 2017-05-11 13:27:16	registerMbeans..................false
DEBUG 2017-05-11 13:27:16	scheduledExecutorService........null
DEBUG 2017-05-11 13:27:16	threadFactory...................null
DEBUG 2017-05-11 13:27:16	transactionIsolation............null
DEBUG 2017-05-11 13:27:16	username........................null
DEBUG 2017-05-11 13:27:16	validationTimeout...............5000
INFO 2017-05-11 13:27:16	HikariPool-4 - Started.
INFO 2017-05-11 13:27:16	HikariPool-4 - Driver does not support get/set network timeout for connections. (org.h2.jdbc.JdbcConnection.getNetworkTimeout()I)
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Pool stats (total=4, active=3, idle=1, waiting=0)
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Added connection conn19: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Added connection conn20: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Added connection conn21: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Added connection conn22: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Added connection conn23: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - Added connection conn24: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-2 - After adding stats (total=10, active=3, idle=7, waiting=0)
DEBUG 2017-05-11 13:27:16	HikariPool-4 - Added connection conn25: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-4 - Reset (autoCommit) on connection conn25: url=jdbc:h2:mem:test user=
DEBUG 2017-05-11 13:27:16	HikariPool-4 - Reset (autoCommit) on connection conn25: url=jdbc:h2:mem:test user=
